Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,r_studio_yn,spark_yn,aws_yn,excel_yn
Data Scientist,$53K-$91K (Glassdoor est.),Job Description,3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,0,0,53,91,72.0,"Tecolote Research
", NM,53,0,0,0,0,0
Healthcare Data Scientist,$63K-$112K (Glassdoor est.),Job Description,3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+ employees,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,0,0,63,112,87.5,"University of Maryland Medical System
", MD,42,0,0,0,0,0
Data Scientist,$80K-$90K (Glassdoor est.),Job Description,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,80,90,85.0,"KnowBe4
", FL,16,0,0,0,0,0
Data Scientist,$56K-$97K (Glassdoor est.),Job Description,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,"PNNL
", WA,61,0,0,0,0,0
Data Scientist,$86K-$143K (Glassdoor est.),Job Description,2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,86,143,114.5,"Affinity Solutions
", NY,28,0,0,0,0,0
Data Scientist,$71K-$119K (Glassdoor est.),Job Description,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95.0,"CyrusOne
", TX,26,0,0,0,0,0
Data Scientist,$54K-$93K (Glassdoor est.),Job Description,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93,73.5,"ClearOne Advantage
", MD,18,0,0,0,0,0
Data Scientist,$86K-$142K (Glassdoor est.),Job Description,3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,0,0,86,142,114.0,"Logic20/20
", CA,21,0,0,0,0,0
Research Scientist,$38K-$84K (Glassdoor est.),Job Description,3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,38,84,61.0,"Rochester Regional Health
", NY,12,0,0,0,0,0
Data Scientist,$120K-$160K (Glassdoor est.),Job Description,4.6,"<intent>
4.6","New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",0,0,120,160,140.0,"<intent>
", NY,17,0,0,0,0,0
Data Scientist,$126K-$201K (Glassdoor est.),Job Description,3.5,"Wish
3.5","San Jose, CA","San Francisco, CA",501 to 1000 employees,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1,0,0,126,201,163.5,"Wish
", CA,15,0,0,0,0,0
Data Scientist,$64K-$106K (Glassdoor est.),Job Description,4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,64,106,85.0,"ManTech
", VA,58,0,0,0,0,0
Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),Job Description,3.2,"Walmart
3.2","Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,106,172,139.0,"Walmart
", TX,64,0,0,0,0,0
