unnamed:_0,job_title,salary_estimate,job_description,rating,company_name,location,headquarters,size,founded,type_of_ownership,industry,sector,revenue,competitors,min_salary,max_salary,company_name_clean,avg_salary,min_salary_norm,max_salary_norm,avg_salary_norm,type_of_ownership_encoded,industry_encoded,sector_encoded,salary_range,city,state,company_size_encoded,revenue_million,company_age,job_title_simplified
0,data scientist,$53K-$91K (Glassdoor est.),Job Description,3.8,"tecolote research
3.8","albuquerque, nm","goleta, ca",501 to 1000 employees,1973,company - private,aerospace & defense,aerospace & defense,$50 to $100 million (usd),-1,,,tecolote research,,0.0,0.0,0.0,2,3,2,,albuquerque,nm,4.0,75.0,53,scientist
1,healthcare data scientist,$63K-$112K (Glassdoor est.),Job Description,3.4,"university of maryland medical system
3.4","linthicum, md","baltimore, md",10000+ employees,1984,other organization,health care services & hospitals,health care,$2 to $5 billion (usd),-1,,,university of maryland medical system,,0.0,0.0,0.0,8,28,12,,linthicum,md,7.0,3500.0,42,scientist
2,data scientist,$80K-$90K (Glassdoor est.),Job Description,4.8,"knowbe4
4.8","clearwater, fl","clearwater, fl",501 to 1000 employees,2010,company - private,security services,business services,$100 to $500 million (usd),-1,,,knowbe4,,0.0,0.0,0.0,2,48,6,,clearwater,fl,4.0,300.0,16,scientist
3,data scientist,$56K-$97K (Glassdoor est.),Job Description,3.8,"pnnl
3.8","richland, wa","richland, wa",1001 to 5000 employees,1965,government,energy,"oil, gas, energy & utilities",$500 million to $1 billion (usd),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",,,pnnl,,0.0,0.0,0.0,5,18,19,,richland,wa,5.0,750.0,61,scientist
4,data scientist,$86K-$143K (Glassdoor est.),Job Description,2.9,"affinity solutions
2.9","new york, ny","new york, ny",51 to 200 employees,1998,company - private,advertising & marketing,business services,unknown / non-applicable,"Commerce Signals, Cardlytics, Yodlee",,,affinity solutions,,0.0,0.0,0.0,2,2,6,,new york,ny,2.0,0.0,28,scientist
5,data scientist,$71K-$119K (Glassdoor est.),Job Description,3.4,"cyrusone
3.4","dallas, tx","dallas, tx",201 to 500 employees,2000,company - public,real estate,real estate,$1 to $2 billion (usd),"Digital Realty, CoreSite, Equinix",,,cyrusone,,0.0,0.0,0.0,3,45,20,,dallas,tx,3.0,1500.0,26,scientist
6,data scientist,$54K-$93K (Glassdoor est.),Job Description,4.1,"clearone advantage
4.1","baltimore, md","baltimore, md",501 to 1000 employees,2008,company - private,banks & credit unions,finance,unknown / non-applicable,-1,,,clearone advantage,,0.0,0.0,0.0,2,6,10,,baltimore,md,4.0,0.0,18,scientist
7,data scientist,$86K-$142K (Glassdoor est.),Job Description,3.8,"logic20/20
3.8","san jose, ca","seattle, wa",201 to 500 employees,2005,company - private,consulting,business services,$25 to $50 million (usd),-1,,,logic20/20,,0.0,0.0,0.0,2,13,6,,san jose,ca,3.0,37.5,21,scientist
8,research scientist,$38K-$84K (Glassdoor est.),Job Description,3.3,"rochester regional health
3.3","rochester, ny","rochester, ny",10000+ employees,2014,hospital,health care services & hospitals,health care,$500 million to $1 billion (usd),-1,,,rochester regional health,,0.0,0.0,0.0,6,28,12,,rochester,ny,7.0,750.0,12,scientist
9,data scientist,$120K-$160K (Glassdoor est.),Job Description,4.6,"<intent>
4.6","new york, ny","new york, ny",51 to 200 employees,2009,company - private,internet,information technology,$100 to $500 million (usd),"Clicktripz, SmarterTravel",,,<intent>,,0.0,0.0,0.0,2,33,13,,new york,ny,2.0,300.0,17,scientist
10,data scientist,$126K-$201K (Glassdoor est.),Job Description,3.5,"wish
3.5","san jose, ca","san francisco, ca",501 to 1000 employees,2011,company - private,other retail stores,retail,$1 to $2 billion (usd),-1,,,wish,,0.0,0.0,0.0,2,42,21,,san jose,ca,4.0,1500.0,15,scientist
11,data scientist,$64K-$106K (Glassdoor est.),Job Description,4.1,"mantech
4.1","chantilly, va","herndon, va",5001 to 10000 employees,1968,company - public,research & development,business services,$1 to $2 billion (usd),-1,,,mantech,,0.0,0.0,0.0,3,47,6,,chantilly,va,6.0,1500.0,58,scientist
12,staff data scientist - technology,$106K-$172K (Glassdoor est.),Job Description,3.2,"walmart
3.2","plano, tx","bentonville, ar",10000+ employees,1962,company - public,"department, clothing, & shoe stores",retail,$10+ billion (usd),"Target, Costco Wholesale, Amazon",,,walmart,,0.0,0.0,0.0,3,16,21,,plano,tx,7.0,10000.0,64,scientist
13,data analyst,$46K-$85K (Glassdoor est.),Job Description,4.1,"yesler
4.1","seattle, wa","seattle, wa",201 to 500 employees,2012,company - private,advertising & marketing,business services,unknown / non-applicable,-1,,,yesler,,0.0,0.0,0.0,2,2,6,,seattle,wa,3.0,0.0,14,analyst
14,data scientist,$83K-$144K (Glassdoor est.),Job Description,3.7,"takeda pharmaceuticals
3.7","cambridge, ma","osaka, japan",10000+ employees,1781,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$10+ billion (usd),"Novartis, Baxter, Pfizer",,,takeda pharmaceuticals,,0.0,0.0,0.0,3,8,5,,cambridge,ma,7.0,10000.0,245,scientist
15,data engineer i,$102K-$190K (Glassdoor est.),Job Description,3.6,"audible
3.6","newark, nj","newark, nj",1001 to 5000 employees,1995,subsidiary or business segment,motion picture production & distribution,media,unknown / non-applicable,-1,,,audible,,0.0,0.0,0.0,11,41,16,,newark,nj,5.0,0.0,31,engineer
16,"scientist i/ii, biology",$67K-$137K (Glassdoor est.),Job Description,3.9,"blueprint medicines
3.9","cambridge, ma","cambridge, ma",51 to 200 employees,2011,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$1 to $5 million (usd),"bluebird bio, Agios Pharmaceuticals, Celgene",,,blueprint medicines,,0.0,0.0,0.0,3,8,5,,cambridge,ma,2.0,3.0,15,scientist
17,customer data scientist,$118K-$189K (Glassdoor est.),Job Description,4.3,"h2o.ai
4.3","mountain view, ca","mountain view, ca",201 to 500 employees,2011,company - private,enterprise software & network solutions,information technology,unknown / non-applicable,-1,,,h2o.ai,,0.0,0.0,0.0,2,19,13,,mountain view,ca,3.0,0.0,15,scientist
18,data scientist - health data analytics,$110K-$175K (Glassdoor est.),Job Description,4.2,"nuna
4.2","san francisco, ca","san francisco, ca",51 to 200 employees,2010,company - private,enterprise software & network solutions,information technology,unknown / non-applicable,-1,,,nuna,,0.0,0.0,0.0,2,19,13,,san francisco,ca,2.0,0.0,16,scientist
19,data scientist,$64K-$111K (Glassdoor est.),Job Description,4.0,"pinnacol assurance
4.0","denver, co","denver, co",501 to 1000 employees,1915,nonprofit organization,insurance carriers,insurance,$500 million to $1 billion (usd),-1,,,pinnacol assurance,,0.0,0.0,0.0,7,32,14,,denver,co,4.0,750.0,111,scientist
20,data scientist,$81K-$130K (Glassdoor est.),Job Description,3.2,"porch
3.2","seattle, wa","seattle, wa",201 to 500 employees,2012,company - private,internet,information technology,unknown / non-applicable,"Angie's List, HomeAdvisor, Thumbtack",,,porch,,0.0,0.0,0.0,2,33,13,,seattle,wa,3.0,0.0,14,scientist
21,senior data scientist / machine learning,$73K-$119K (Glassdoor est.),Job Description,3.9,"health iq
3.9","dallas, tx","mountain view, ca",201 to 500 employees,2013,company - private,insurance agencies & brokerages,insurance,unknown / non-applicable,-1,,,health iq,,0.0,0.0,0.0,2,31,14,,dallas,tx,3.0,0.0,13,scientist
22,data scientist - quantitative,$86K-$139K (Glassdoor est.),Job Description,3.8,"truckstop.com
3.8","chicago, il","new plymouth, id",501 to 1000 employees,1995,company - private,logistics & supply chain,transportation & logistics,unknown / non-applicable,-1,,,truckstop.com,,0.0,0.0,0.0,2,38,23,,chicago,il,4.0,0.0,31,scientist
23,data scientist,$63K-$105K (Glassdoor est.),Job Description,4.3,"smc 3
4.3","louisville, ky","peachtree city, ga",51 to 200 employees,1935,nonprofit organization,logistics & supply chain,transportation & logistics,$10 to $25 million (usd),-1,,,smc 3,,0.0,0.0,0.0,7,38,23,,louisville,ky,2.0,17.5,91,scientist
24,data scientist,-1,Job Description,3.9,"mars
3.9",oregon,"mc lean, va",10000+ employees,1911,company - private,food & beverage manufacturing,manufacturing,$10+ billion (usd),-1,,,mars,,0.0,0.0,0.0,2,24,15,,oregon,unknown,7.0,10000.0,115,scientist
25,data scientist,$109K-$177K (Glassdoor est.),Job Description,4.0,"novetta
4.0","herndon, va","mc lean, va",501 to 1000 employees,2012,company - private,enterprise software & network solutions,information technology,$100 to $500 million (usd),"Leidos, CACI International, Booz Allen Hamilton",,,novetta,,0.0,0.0,0.0,2,19,13,,herndon,va,4.0,300.0,14,scientist
26,digital health data scientist,$63K-$110K (Glassdoor est.),Job Description,4.0,"pfizer
4.0","cambridge, ma","new york, ny",10000+ employees,1849,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$10+ billion (usd),-1,,,pfizer,,0.0,0.0,0.0,3,8,5,,cambridge,ma,7.0,10000.0,177,scientist
27,data scientist,$75K-$124K (Glassdoor est.),Job Description,3.5,"first tech federal credit union
3.5","hillsboro, or","san jose, ca",1001 to 5000 employees,1952,company - private,banks & credit unions,finance,$100 to $500 million (usd),-1,,,first tech federal credit union,,0.0,0.0,0.0,2,6,10,,hillsboro,or,5.0,300.0,74,scientist
28,associate data analyst,$34K-$61K (Glassdoor est.),Job Description,3.7,"the hanover insurance group
3.7","worcester, ma","worcester, ma",5001 to 10000 employees,1852,company - public,insurance carriers,insurance,$5 to $10 billion (usd),-1,,,the hanover insurance group,,0.0,0.0,0.0,3,32,14,,worcester,ma,6.0,7500.0,174,analyst
29,clinical data scientist,$63K-$105K (Glassdoor est.),Job Description,4.0,"pfizer
4.0","groton, ct","new york, ny",10000+ employees,1849,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$10+ billion (usd),-1,,,pfizer,,0.0,0.0,0.0,3,8,5,,groton,ct,7.0,10000.0,177,scientist
32,data scientist,$72K-$120K (Glassdoor est.),Job Description,3.6,"amrock
3.6","detroit, mi","detroit, mi",1001 to 5000 employees,1997,company - private,real estate,real estate,$500 million to $1 billion (usd),-1,,,amrock,,0.0,0.0,0.0,2,45,20,,detroit,mi,5.0,750.0,29,scientist
33,data scientist / machine learning expert,$86K-$143K (Glassdoor est.),Job Description,3.8,"novartis
3.8","cambridge, ma","basel, switzerland",10000+ employees,1996,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$10+ billion (usd),-1,,,novartis,,0.0,0.0,0.0,3,8,5,,cambridge,ma,7.0,10000.0,30,scientist
34,data scientist,$93K-$149K (Glassdoor est.),Job Description,3.8,"juniper networks
3.8","sunnyvale, ca","sunnyvale, ca",5001 to 10000 employees,1996,company - public,telecommunications services,telecommunications,$2 to $5 billion (usd),-1,,,juniper networks,,0.0,0.0,0.0,3,54,22,,sunnyvale,ca,6.0,3500.0,30,scientist
35,data scientist,$85K-$140K (Glassdoor est.),Job Description,4.7,"new england biolabs
4.7","ipswich, ma","ipswich, ma",201 to 500 employees,1974,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",,,new england biolabs,,0.0,0.0,0.0,2,8,5,,ipswich,ma,3.0,0.0,52,scientist
36,web data analyst,$77K-$135K (Glassdoor est.),Job Description,4.2,"clarity insights
4.2","san jose, ca","chicago, il",201 to 500 employees,2008,company - private,it services,information technology,unknown / non-applicable,-1,,,clarity insights,,0.0,0.0,0.0,2,35,13,,san jose,ca,3.0,0.0,18,analyst
37,data scientist,$82K-$132K (Glassdoor est.),Job Description,3.5,"esri
3.5","redlands, ca","redlands, ca",1001 to 5000 employees,1969,company - private,computer hardware & software,information technology,$1 to $2 billion (usd),Pitney Bowes,,,esri,,0.0,0.0,0.0,2,11,13,,redlands,ca,5.0,1500.0,57,scientist
38,data scientist,$83K-$137K (Glassdoor est.),Job Description,4.7,"systems & technology research
4.7","woburn, ma","woburn, ma",201 to 500 employees,2010,company - private,aerospace & defense,aerospace & defense,$100 to $500 million (usd),-1,,,systems & technology research,,0.0,0.0,0.0,2,3,2,,woburn,ma,3.0,300.0,16,scientist
39,senior data scientist,$115K-$180K (Glassdoor est.),Job Description,3.5,"sartorius
3.5","fremont, ca","gottingen, germany",5001 to 10000 employees,1870,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$1 to $2 billion (usd),-1,,,sartorius,,0.0,0.0,0.0,3,8,5,,fremont,ca,6.0,1500.0,156,scientist
40,data engineer,$74K-$138K (Glassdoor est.),Job Description,3.5,"lancer insurance
3.5","long beach, ny","long beach, ny",201 to 500 employees,1985,company - private,insurance carriers,insurance,$100 to $500 million (usd),-1,,,lancer insurance,,0.0,0.0,0.0,2,32,14,,long beach,ny,3.0,300.0,41,engineer
